,ID,EVENT,DATE1,DATE2,IMP,IMAGE,TYPE
,,,,,,,
,1,Regne de Salomon,-968,-928,4,x,2
,2,Premiers Jeux Olympiques tenus en Grece,-776,-776,3,x,7
,3,Destruction de Temple. Exil a Babylone,-587,-587,4,x,2
,4,Les Perses conquierent l'egypte,-525,-525,3,x,4
,5,Naissance de la democratie Athenienne,-508,-508,3,x,6
,6,Chute d'Athenes contre Sparte,-404,-404,2,x,4
,7,Aristote est charge de l'education d'Alexandre le Grand,-343,-343,2,x,7
,8,L'entree d'Alexandre le Grand en egypte,-332,-332,1,x,4
,9,Jules Cesar conquiert la Gaule,-50,-50,3,x,4
,10,L'egypte passe sous la domination romaine,-30,-30,2,x,4
,11,Debut de l'ere Chretienne. J.-C,1,1,4,x,1
,12,Rome ravagee par un incendie,64,64,3,x,7
,13,Revolte des Juifs. Incendie du Temple,70,70,4,x,2
,14,Constantin se convertit au Christianisme,312,312,4,x,1
,15,Naissance de Constantinople,330,330,2,x,7
,16,Chute de l'Empire romain d'Occident,476,476,4,x,7
,17,Debut de la revelation du Coran,610,610,4,x,3
,18,Etablisement du texte officiel du Coran,644,656,4,x,3
,19,Naissance de l'Empire du Japon,660,660,3,x,7
,20,Developpement du Soufisme,900,1100,4,x,3
,21,Gengis Khan,907,1125,2,x,7
,22,Creation du Saint Empire Romain Germanique,962,962,3,x,7
,23,L'Eglise Bysantine quitte la communaute catholique,1054,1054,4,x,1
,24,Bataille de Marignan,1515,1515,3,x,4
,25,Debut de la Reforme,1517,1517,4,x,1
,26,Apparition du Wahhabisme en Arabie,1700,1700,4,x,3