ID,DATE1,DATE2,LABEL,parent
1,-699,-600,-VII,1
2,-599,-500,-VI,1
3,-499,-400,-V,1
4,-399,-300,-IV,1
5,-299,-200,-III,1
6,-199,-100,-II,1
7,-99,0,-I ,1
8,1,100,I ,1
9,101,200,II,1
10,201,300,III,1
11,301,400,IV,1
12,401,500,V,1
13,501,600,VI,2
14,601,700,VII,2
15,701,800,VIII,2
16,801,900,IX,2
17,901,1000,X,2
18,1001,1100,XI,2
19,1101,1200,XII,2
20,1201,1300,XIII,2
21,1301,1400,XIV,2
22,1401,1500,XV,3
23,1501,1600,XVI,3
24,1601,1700,XVII,3
25,1701,1800,XVIII,3
26,1801,1900,XIX,4
27,1901,2000,XX,4