ID,PHILOSOPHERS,DATE1,DATE2,AGE,IMP,IMAGE,TYPE,SCHOOL,cumul,density
340,Thales de Milet,-625,-547,78,5,x,0,0,1,
20,Anaximandre,-610,-546,64,5,x,0,0,2,
249,Mahavira,-599,-527,72,1,x,0,0,3,
21,Anaximene,-586,-526,60,5,x,0,0,4,
309,Pythagore,-580,-500,80,5,pythagore.jpg,0,15,5,
229,Lao Zi,-570,-490,80,5,lao-tseu.jpg,0,50,6,
366,Xenophane,-570,-480,90,5,x,0,9,7,
51,Bouddha,-563,-483,80,5,bouddha.jpeg,0,0,8,
72,Confucius,-551,-479,72,5,x,0,22,9,
167,Heraclite d'Ephese,-550,-480,70,5,x,0,0,10,
285,Parmenide,-515,-440,75,5,x,0,0,11,
19,Anaxagore,-500,-428,72,5,x,0,0,12,
7,Alcmeon de Crotone,-500,-400,100,5,x,0,15,13,
351,Timee de Locres,-500,-400,100,5,x,0,15,14,
100,Empedocle d'Agrigente,-493,-433,60,5,x,0,15,15,
307,Protagoras,-490,-408,82,1,x,0,0,16,
370,Zenon d'Elee,-490,-400,90,5,x,0,0,17,
146,Gorgias,-487,-380,107,5,x,0,39,18,
273,Mo Zi,-479,-392,87,5,x,0,36,19,
333,Socrate,-469,-399,70,5,socrate.jpg,0,0,20,
75,Critias,-460,-403,57,2,x,0,0,21,
172,Hippocrate,-460,-377,83,5,x,0,0,22,
79,Democrite d'Abdere,-460,-370,90,5,democrite.jpeg,0,19,23,
235,Leucippe,-460,-370,90,5,x,0,19,24,
108,Euclide de Megare,-450,-380,70,5,x,0,0,25,
25,Antisthene,-444,-371,73,5,x,0,23,26,
22,Andocide,-440,-392,48,1,x,0,0,27,
32,Aristippe de Cyrene,-435,-355,80,2,x,0,0,28,
367,Xenophon,-430,-355,75,5,x,0,0,29,
300,Platon,-427,-347,80,5,x,0,42,30,
83,Diogene de Sinope,-400,-325,75,5,x,0,23,31,
365,Xenocrate,-400,-314,86,2,x,0,0,32,
33,Aristote,-384,-322,62,5,aristote.jpg,0,17,33,
343,Theophraste,-372,-287,85,5,x,0,0,34,
265,Mencius,-371,-289,82,1,x,0,0,35,
372,Zhuang Zi,-369,-286,83,5,x,0,0,36,
74,Crates de Thebes,-368,-288,80,5,x,0,23,37,
308,Pyrrhon,-365,-275,90,5,x,0,47,38,
339,Stilpon de Megare,-360,-280,80,5,x,0,11,39,
236,Lie Yukou,-350,-250,100,2,x,0,0,40,
102,Epicure,-341,-270,71,5,x,0,19,41,
88,Douris de Samos,-340,-260,80,1,x,0,0,42,
369,Zenon de Citium,-335,-264,71,5,x,0,49,43,
69,Cleanthe,-331,-232,99,5,x,0,49,44,
352,Timon de Phlionte,-325,-235,90,5,x,0,47,45,
31,Arcesilas de Pitane,-315,-240,75,2,x,0,0,46,
373,Zou Yan,-305,-240,65,5,x,0,0,47,
103,Eratosthene,-284,-192,92,5,x,0,0,48,
65,Chrysippe de Soli,-281,-205,76,1,x,0,0,49,
54,Carneade,-215,-129,86,5,x,0,0,50,
284,Panetius de Rhodes,-180,-110,70,1,x,0,0,51,
174,Huainanzi,-179,-122,57,1,x,0,0,52,
305,Posidonios d'Apamee,-135,-50,85,1,x,0,0,53,
66,Ciceron,-106,-43,63,5,ciceron.jpeg,0,0,54,
243,Lucrece,-98,-54,44,5,x,0,19,55,
368,Yang Xiong,-53,18,71,5,x,0,0,56,
289,Philon d'Alexandrie,-13,54,67,5,x,0,0,57,
327,Seneque,-4,65,69,5,seneque.jpeg,0,49,58,
30,Apollonius de Tyane,2,97,95,5,x,0,0,59,
302,Plutarque,50,125,75,5,x,0,0,60,
101,Epictete,50,130,80,5,epicure.jpeg,0,0,61,
56,Celse,120,180,60,5,x,0,0,62,
252,Marc Aurele,121,180,59,5,marcaurele.jpeg,0,49,63,
241,Lucien de Samosate,125,192,67,5,x,0,0,64,
294,Pierre Favre,150,546,396,1,x,0,0,65,
18,Ammonius Saccas,160,242,82,5,x,0,38,66,
57,Charles Bonnet,172,793,621,1,x,0,0,67,
27,Antoine Chrysostome Quatremere de Quincy,175,849,674,1,x,0,0,68,
245,Ludwig Geiger,184,919,735,1,x,0,0,69,
131,Georg Simmel,185,918,733,1,x,0,0,70,
158,He Yan,193,249,56,5,x,0,0,71,
328,Sextus Empiricus,200,250,50,5,x,0,47,72,
301,Plotin,205,270,65,5,plotin.jpg,0,32,73,
360,Wang Bi,226,249,23,5,x,0,52,74,
304,Porphyre de Tyr,233,304,71,5,x,0,38,75,
84,Diogene Laerce,250,300,50,3,x,0,0,76,
151,Guo Xiang,252,312,60,5,x,0,0,77,
185,Jamblique,283,333,50,5,x,0,38,78,
36,Augustin d'Hippone,354,430,76,5,x,0,20,79,
175,Hypatie d'Alexandrie,370,415,45,5,x,0,32,80,
306,Proclos,412,485,73,5,x,0,38,81,
50,Boece,480,525,45,5,x,0,0,82,
55,Cassiodore,485,580,95,1,x,0,0,83,
180,Isidore de Seville,565,636,71,2,x,0,0,84,
42,Bede le Venerable,672,735,63,2,x,0,0,85,
8,Alcuin,730,804,74,1,x,0,0,86,
342,Theodulf d'Orleans,750,821,71,1,x,0,0,87,
2,Adi Shankarachary,788,820,32,5,x,0,16,88,
17,Al-Kindi,801,873,72,5,x,0,0,89,
197,Jean Scot Erigene,810,870,60,1,x,0,0,90,
316,Rhazes,865,923,58,1,x,0,0,91,
12,Al-Farabi,870,950,80,5,x,0,0,92,
138,Gerbert d'Aurillac,938,1003,65,5,x,0,0,93,
38,Avicenne,980,1037,57,5,x,0,0,94,
325,Saint Anselme de Canterbury,1033,1109,76,5,x,0,0,95,
322,Roscelin,1050,1120,70,5,x,0,40,96,
15,Al-Ghazali,1058,1111,53,5,x,0,0,97,
149,Guillaume de Champeaux,1070,1121,51,1,x,0,0,98,
291,Pierre Abelard,1079,1142,63,5,x,0,48,99,
344,Thierry de Chartres,1100,1155,55,5,x,0,0,100,
177,Ibn Tufayl,1100,1185,85,5,x,0,0,101,
191,Jean de Salisbury,1115,1180,65,5,x,0,7,102,
37,Averroes,1126,1198,72,5,averroes.jpg,0,0,103,
371,Zhu Xi,1130,1200,70,5,x,0,0,104,
250,Maimonide,1135,1204,69,5,x,0,0,105,
324,Saint Albert le Grand,1193,1280,87,1,x,0,0,106,
278,Moshe ben Nahman dit Nahmanides,1194,1270,76,1,x,0,0,107,
6,Albert le Grand,1200,1280,80,5,x,0,0,108,
321,Roger Bacon,1214,1294,80,5,bacon.jpg,0,0,109,
162,Henri de Gand,1217,1293,76,5,x,0,48,110,
326,Saint Bonaventure,1221,1274,53,1,x,0,0,111,
337,St Thomas d'Aquin,1225,1274,49,5,thomasaquin.jpeg,0,48,112,
329,Siger de Brabant,1240,1281,41,1,x,0,0,113,
89,Duns Scot,1266,1308,42,1,x,0,0,114,
150,Guillaume d'Occam,1285,1349,64,5,x,0,48,115,
189,Jean Buridan,1300,1358,58,1,x,0,0,116,
317,Richard Brinkley,1300,1379,79,1,x,0,0,117,
129,Geoffroy Hardeby,1320,1385,65,1,x,0,0,118,
176,Ibn Khaldun,1332,1395,63,5,x,0,0,119,
193,Jean Gerson,1363,1429,66,1,x,0,0,120,
148,Guarino Veronese,1370,1460,90,1,x,0,0,121,
303,Poggio Bracciolini,1380,1459,79,1,x,0,0,122,
125,Gabriel Biel,1425,1495,70,1,x,0,0,123,
290,Pic de la Mirandole,1463,1494,31,1,x,0,0,124,
82,Didier Erasme,1466,1536,70,1,x,0,0,125,
281,Nicolas Machiavel,1469,1527,58,5,machiavel.jpeg,0,0,126,
348,Thomas More,1478,1535,57,5,x,0,0,127,
114,Francisco Marroquin,1499,1563,64,1,x,0,0,128,
106,Etienne de La Boetie,1530,1563,33,2,x,0,0,129,
188,Jean Bodin,1530,1596,66,1,x,0,0,130,
274,Montaigne,1533,1592,59,5,x,0,0,131,
144,Giordano Bruno,1548,1600,52,1,x,0,0,132,
115,Francisco Suarez,1548,1617,69,2,x,0,0,133,
113,Francis Bacon,1561,1626,65,5,bacon.jpg,0,0,134,
353,Tommaso Campanella,1568,1639,71,1,x,0,0,135,
226,Kotch Barma Fall,1586,1655,69,1,x,0,0,136,
254,Marin Mersenne,1588,1648,60,1,x,0,0,137,
345,Thomas Hobbes,1588,1679,91,5,hobbes.jpg,0,0,138,
295,Pierre Gassendi,1592,1655,63,1,x,0,0,139,
313,Rene Descartes,1596,1650,54,5,descartes.jpg,0,21,140,
292,Pierre de Fermat,1601,1665,64,5,x,0,0,141,
26,Antoine Arnauld,1612,1694,82,1,x,0,0,142,
49,Blaise Pascal,1623,1662,39,5,pascal.jpg,0,0,143,
335,Spinoza,1632,1677,45,5,x,0,0,144,
210,John Locke,1632,1704,72,5,locke.jpeg,0,26,145,
282,Nicolas Malebranche,1638,1715,77,1,x,0,0,146,
231,Leibniz,1646,1716,70,5,leibnitz.jpg,0,34,147,
196,Jean Meslier,1664,1729,65,1,x,0,0,148,
141,Giambattista Vico,1668,1744,76,1,x,0,0,149,
64,Christian Wolff,1679,1754,75,5,x,0,25,150,
46,Berkeley,1685,1753,68,5,berkeley.jpeg,0,26,151,
275,Montesquieu,1689,1755,66,5,x,0,0,152,
358,Voltaire,1694,1778,84,5,x,0,0,153,
44,Benjamin Franklin,1706,1790,84,5,x,0,0,154,
220,Julien Offray de La Mettrie,1709,1751,42,1,x,0,0,155,
349,Thomas Reid,1710,1796,86,1,x,0,0,156,
78,David Hume,1711,1776,65,5,hume.jpeg,0,26,157,
202,Jean-Jacques Rousseau,1712,1778,66,5,x,0,0,158,
80,Denis Diderot,1713,1784,71,5,diderot.jpeg,0,0,159,
9,Alexander Gottlieb Baumgarten,1714,1762,48,1,x,0,0,160,
160,Helvetius,1715,1771,56,1,x,0,0,161,
71,Condillac,1715,1780,65,2,x,0,0,162,
230,Leger-Marie Deschamps,1716,1774,58,1,x,0,0,163,
41,Baron Johann Joachim Winckelmann,1717,1768,51,1,x,0,0,164,
76,D'Alembert,1717,1783,66,5,x,0,0,165,
81,D'Holbach,1723,1789,66,1,x,0,0,166,
1,Adam Smith,1723,1790,67,1,x,0,0,167,
97,Emmanuel Kant,1724,1804,80,5,x,0,0,168,
277,Moses Mendelssohn,1729,1786,57,1,x,0,0,169,
92,Edmund Burke,1729,1797,68,1,x,0,0,170,
211,John Millar,1735,1801,66,1,x,0,0,171,
145,Giovanni Cristofano Amaduzzi,1740,1792,52,1,x,0,0,172,
86,Donatien Alphonse Francois de Sade,1740,1814,74,3,x,0,0,173,
280,Nicolas de Condorcet,1743,1794,51,5,x,0,0,174,
346,Thomas Jefferson,1743,1826,83,3,x,0,0,175,
206,Johann Gottfried von Herder,1744,1803,59,1,x,0,0,176,
205,Jeremy Bentham,1748,1832,84,1,x,0,0,177,
29,Antoine-Louis-Claude Destutt de Tracy,1754,1836,82,1,x,0,0,178,
363,William Godwin,1756,1836,80,1,x,0,0,179,
298,Pierre-Jean-Georges Cabanis,1757,1808,51,1,x,0,0,180,
73,"Constantin-Francois Chasseb?uf, comte de Volney",1757,1820,63,1,x,0,0,181,
67,"Claude Henri de Rouvroy, comte de Saint-Simon",1760,1825,65,1,x,0,0,182,
62,Christian Godefroy Bardili,1761,1808,47,1,x,0,0,183,
207,Johann Gottlieb Fichte,1762,1814,52,1,x,0,0,184,
251,Maine de Biran,1766,1824,58,1,x,0,0,185,
122,Friedrich Ludewig Bouterweck,1766,1828,62,1,x,0,0,186,
43,Benjamin Constant,1767,1830,63,2,x,0,0,187,
199,Jean-Baptiste Say,1767,1832,65,1,x,0,0,188,
361,Wilhelm von Humboldt,1767,1835,68,1,x,0,0,189,
159,Hegel,1770,1831,61,5,hegel.jpeg,0,31,190,
186,James Mill,1773,1836,63,1,x,0,0,191,
124,Friedrich Willhelm Joseph von Schelling,1775,1855,80,1,x,0,0,192,
216,Josef Hoene-Wronski,1776,1853,77,1,x,0,0,193,
58,Charles Comte,1782,1837,55,1,x,0,0,194,
109,Felicite Robert de Lamennais,1782,1854,72,1,x,0,0,195,
192,Jean Francois Moufot,1784,1842,58,1,x,0,0,196,
59,Charles Dunoyer,1786,1862,76,1,x,0,0,197,
34,Arthur Schopenhauer,1788,1860,72,5,x,0,0,198,
355,Victor Cousin,1792,1867,75,1,x,0,0,199,
35,Auguste Comte,1798,1857,59,5,x,0,43,200,
119,Frederic Bastiat,1801,1850,49,1,x,0,0,201,
28,Antoine Cournot,1801,1877,76,1,x,0,0,202,
152,Gustav Fechner,1801,1887,86,1,x,0,0,203,
310,Ralph Waldo Emerson,1803,1882,79,1,x,0,0,204,
244,Ludwig Feuerbach,1804,1872,68,1,x,0,0,205,
11,Alexis de Tocqueville,1805,1859,54,5,x,0,0,206,
263,Max Stirner,1806,1856,50,1,x,0,0,207,
213,John Stuart Mill,1806,1873,67,1,x,0,0,208,
266,Michel Chevalier,1806,1879,73,1,x,0,0,209,
248,Lysander Spooner,1808,1887,79,1,x,0,0,210,
299,Pierre-Joseph Proudhon,1809,1865,56,1,x,0,0,211,
334,Soren Kierkegaard,1813,1855,42,1,x,0,0,212,
218,Jules Lequier,1814,1862,48,1,x,0,0,213,
223,Karl Marx,1818,1883,65,5,x,0,0,214,
153,Gustave de Molinari,1819,1912,93,1,x,0,0,215,
120,Friedrich Engels,1820,1895,75,2,x,0,0,216,
169,Herbert Spencer,1820,1903,83,1,x,0,0,217,
173,Hippolyte Taine,1828,1893,65,1,x,0,0,218,
259,Maurice Joly,1829,1878,49,1,x,0,0,219,
237,Lord Emerich Edward Dalberg Acton,1834,1902,68,1,x,0,0,220,
45,Benjamin Tucker,1835,1923,88,1,x,0,0,221,
118,Franz Brentano,1838,1917,79,1,x,0,0,222,
60,Charles Sanders Peirce,1839,1914,75,5,x,0,44,223,
364,William James,1842,1910,68,5,x,0,44,224,
170,Hermann Cohen,1842,1918,76,1,x,0,0,225,
127,Gabriel Tarde,1843,1904,61,1,x,0,0,226,
123,Friedrich Nietzsche,1844,1900,56,5,nietzsche.jpg,0,39,227,
147,Gottlob Frege,1848,1925,77,1,x,0,0,228,
137,Georgui Plekhanov,1856,1918,62,1,x,0,0,229,
330,Sigmund Freud,1856,1939,83,5,x,0,0,230,
242,Lucien Levy-Bruhl,1857,1939,82,1,x,0,0,231,
93,Edmund Husserl,1859,1938,79,1,x,0,0,232,
161,Henri Bergson,1859,1941,82,5,x,0,0,233,
208,John Dewey,1859,1952,93,1,x,0,0,234,
293,Pierre Duhem,1861,1916,55,1,x,0,0,235,
13,Alfred North Whitehead,1861,1947,86,1,x,0,0,236,
258,Maurice Blondel,1861,1949,88,3,x,0,0,237,
136,Georges Palante,1862,1925,63,1,x,0,0,238,
133,George Santayana,1863,1952,89,1,x,0,0,239,
264,Max Weber,1864,1920,56,1,x,0,0,240,
272,Miguel de Unamuno,1864,1936,72,1,x,0,0,241,
233,Leon Chestov,1866,1938,72,1,x,0,0,242,
219,Julien Benda,1867,1956,89,1,x,0,0,243,
95,Emile Chartier,1868,1951,83,1,x,0,0,244,
336,Sri Aurobindo,1872,1950,78,1,x,0,0,245,
48,Bertrand Russell,1872,1970,98,1,x,0,0,246,
132,George Edward Moore,1873,1958,85,2,x,0,0,247,
262,Max Scheler,1874,1928,54,1,x,0,0,248,
105,Ernst Cassirer,1874,1945,71,1,x,0,0,249,
256,Martin Buber,1878,1965,87,1,x,0,0,250,
283,Oswald Spengler,1880,1936,56,1,x,0,0,251,
297,Pierre Teilhard de Chardin,1881,1955,74,1,x,0,0,252,
246,Ludwig von Mises,1881,1973,92,1,x,0,0,253,
315,Rene Le Senne,1882,1954,72,1,x,0,0,254,
184,Jacques Maritain,1882,1973,91,1,x,0,0,255,
239,Louis Lavelle,1883,1951,68,1,x,0,0,256,
215,Jose Ortega y Gasset,1883,1955,72,1,x,0,0,257,
222,Karl Jaspers,1883,1969,86,1,x,0,0,258,
107,Etienne Gilson,1884,1978,94,1,x,0,0,259,
128,Gaston Bachelard,1884,1962,78,3,x,0,0,260,
104,Ernst Bloch,1885,1977,92,1,x,0,0,261,
198,Jean Wahl,1888,1974,86,1,x,0,0,262,
53,Carl Schmitt,1888,1985,97,1,x,0,0,263,
247,Ludwig Wittgenstein,1889,1951,62,1,x,0,0,264,
126,Gabriel Marcel,1889,1973,84,1,x,0,0,265,
257,Martin Heidegger,1889,1976,87,5,x,0,0,266,
111,Ferdinand Gonseth,1890,1975,85,1,x,0,0,267,
91,Edith Stein,1891,1942,51,1,x,0,0,268,
323,Rudolf Carnap,1891,1970,79,1,x,0,0,269,
10,Alexandre Koyre,1892,1964,72,1,x,0,0,270,
359,Walter Benjamin,1892,1940,48,1,x,0,0,271,
166,Henry Hazlitt,1894,1993,99,1,x,0,0,272,
261,Max Horkheimer,1895,1973,78,1,x,0,0,273,
139,Gershom Scholem,1897,1982,85,1,x,0,0,274,
168,Herbert Marcuse,1898,1979,81,1,x,0,0,275,
234,Leonard E. Read,1898,1983,85,1,x,0,0,276,
232,Leo Strauss,1899,1973,74,2,x,0,0,277,
14,Alfred Schutz,1899,1959,60,1,x,0,0,278,
121,Friedrich Hayek,1899,1992,93,1,x,0,0,279,
142,Gilbert Ryle,1900,1976,76,1,x,0,0,280,
98,Emmanuel Levinas,1900,1995,95,1,x,0,0,281,
156,Hans-Georg Gadamer,1900,2002,102,1,x,0,0,282,
228,Lanza del Vasto,1901,1981,80,1,x,0,0,283,
163,Henri Lefebvre,1901,1991,90,1,x,0,0,284,
195,Jean Guitton,1901,1999,98,2,x,0,0,285,
312,Raymond Ruyer,1902,1987,85,1,x,0,0,286,
224,Karl Popper,1902,1994,92,1,x,0,0,287,
276,Mortimer Adler,1902,2001,99,1,x,0,0,288,
117,Frank Ramsey,1903,1930,27,1,x,0,0,289,
190,Jean Cavailles,1903,1944,41,2,x,0,0,290,
341,Theodor Adorno,1903,1969,66,1,x,0,0,291,
165,Henry Corbin,1903,1978,75,1,x,0,0,292,
357,Vladimir Jankelevitch,1903,1985,82,1,x,0,0,293,
155,Hans Jonas,1903,1993,90,1,x,0,0,294,
135,Georges Canguilhem,1904,1995,91,1,x,0,0,295,
99,Emmanuel Mounier,1905,1950,45,1,x,0,0,296,
204,Jean-Paul Sartre,1905,1980,75,4,x,0,0,297,
39,Ayn Rand,1905,1982,77,3,x,0,0,298,
311,Raymond Aron,1905,1983,78,1,x,0,0,299,
154,Hannah Arendt,1906,1975,69,1,x,0,0,300,
110,Ferdinand Alquie,1906,1985,79,1,x,0,0,301,
260,Maurice Merleau-Ponty,1908,1961,53,1,x,0,0,302,
331,Simone de Beauvoir,1908,1986,78,2,x,0,0,303,
362,Willard Van Orman Quine,1908,2000,92,1,x,0,0,304,
332,Simone Weil,1909,1943,34,2,x,0,0,305,
179,Isaiah Berlin,1909,1997,88,1,x,0,0,306,
203,Jeanne Hersch,1910,2000,90,1,x,0,0,307,
209,John Langshaw Austin,1911,1960,49,1,x,0,0,308,
96,Emile Michel Cioran,1911,1995,84,1,x,0,0,309,
287,Paul Ric?ur,1913,2005,92,1,x,0,0,310,
130,Georg Henrik von Wright,1916,2003,87,1,x,0,0,311,
85,Donald Davidson,1917,2003,86,1,x,0,0,312,
238,Louis Althusser,1918,1990,72,1,x,0,0,313,
140,Gertrude Elizabeth Margaret Anscombe,1919,2001,82,1,x,0,0,314,
112,Fernand Brunner,1920,1991,71,1,x,0,0,315,
212,John Rawls,1921,2002,81,1,x,0,0,316,
178,Imre Lakatos,1922,1974,52,5,x,0,0,317,
347,Thomas Kuhn,1922,1996,74,1,x,0,0,318,
268,Michel Henry,1922,2002,80,1,x,0,0,319,
286,Paul Feyerabend,1924,1994,70,1,x,0,0,320,
200,Jean-Francois Lyotard,1924,1998,74,1,x,0,0,321,
116,Francois Chatelet,1925,1985,60,1,x,0,0,322,
143,Gilles Deleuze,1925,1995,70,1,x,0,0,323,
267,Michel Foucault,1926,1984,58,2,x,0,0,324,
279,Murray Rothbard,1926,1994,68,1,x,0,0,325,
183,Jacques Derrida,1930,2004,74,1,x,0,0,326,
94,Egon Bondy,1930,2007,77,1,x,0,0,327,
16,Ali Chariati,1933,1977,44,1,x,0,0,328,
320,Robert Nozick,1938,2002,64,1,x,0,0,329,